,Rule,Support,Confidence,Diff,PclassDiff,SexDiff,Mean
30,"{'lhs': {'Sex': 'female', 'Fare': '9-20'}, 'rhs': {'Survived': '1'}}",0.07077625570776255,0.6595744680851063,0.32745767976393847,,0.32745767976393847,0.19911696773585053
31,"{'lhs': {'Survived': '0', 'Pclass': '2'}, 'rhs': {'Sex': 'male'}}",0.09703196347031963,0.9340659340659341,0.2925134226504089,0.08546780322481262,,0.19477269306036427
32,"{'lhs': {'Pclass': '1', 'Embarked': 'S'}, 'rhs': {'Survived': '1'}}",0.0867579908675799,0.6129032258064516,0.2674198660600174,0.2674198660600174,,0.17708892846379864
33,"{'lhs': {'Sex': 'male', 'Fare': '9-20'}, 'rhs': {'Survived': '0'}}",0.1723744292237443,0.8388888888888889,0.17100567721005677,,0.17100567721005677,0.17169005321690053
34,"{'lhs': {'Survived': '0', 'Fare': '9-20'}, 'rhs': {'Sex': 'male'}}",0.1723744292237443,0.825136612021858,0.1682023054525149,,,0.1702883673381296
35,"{'lhs': {'Survived': '1', 'Pclass': '3'}, 'rhs': {'Sex': 'female'}}",0.0821917808219178,0.6101694915254238,0.2517220029409489,-0.07311496595258205,,0.16695689188143334
36,"{'lhs': {'Pclass': '2', 'Sex': 'male'}, 'rhs': {'Survived': '0'}}",0.09703196347031963,0.8333333333333334,0.2226027397260274,0.025504151838671496,0.32209737827715357,0.1598173515981735
37,"{'lhs': {'Survived': '0', 'Fare': '0-8'}, 'rhs': {'Sex': 'male'}}",0.182648401826484,0.9142857142857143,0.1266750948166877,,,0.15466174832158586
38,"{'lhs': {'Sex': 'male', 'Fare': '0-8'}, 'rhs': {'Survived': '0'}}",0.182648401826484,0.898876404494382,0.12454012130854131,,0.12454012130854131,0.15359426156751266
39,"{'lhs': {'Survived': '0', 'Pclass': '2'}, 'rhs': {'Embarked': 'S'}}",0.09360730593607305,0.9010989010989011,0.18077926639570474,0.12913628427647117,,0.13719328616588888
40,"{'lhs': {'Survived': '1', 'Sex': 'female'}, 'rhs': {'Pclass': '1'}}",0.10388127853881278,0.3905579399141631,0.1496903600054873,,-0.008269039557977642,0.12678581927215005
41,"{'lhs': {'Survived': '1', 'Pclass': '2'}, 'rhs': {'Embarked': 'S'}}",0.0867579908675799,0.8735632183908046,0.15324358368760826,0.2342670307075202,,0.12000078727759408
42,"{'lhs': {'Survived': '1', 'Sex': 'male'}, 'rhs': {'Pclass': '1'}}",0.05136986301369863,0.4166666666666667,0.17579908675799089,,0.017839687194525944,0.11358447488584475
43,"{'lhs': {'Pclass': '2', 'Embarked': 'S'}, 'rhs': {'Survived': '1'}}",0.0867579908675799,0.4810126582278481,0.13552929848141387,0.13552929848141387,,0.11114364467449689
44,"{'lhs': {'Survived': '0', 'Pclass': '2'}, 'rhs': {'Parch': '0'}}",0.091324200913242,0.8791208791208791,0.12227156405238593,0.07351340248536509,,0.10679788248281397
45,"{'lhs': {'Pclass': '3', 'Sex': 'female'}, 'rhs': {'Survived': '1'}}",0.0821917808219178,0.5,0.11073059360730592,-0.2420382165605095,0.257700205338809,0.09646118721461186
46,"{'lhs': {'Survived': '1', 'Sex': 'female'}, 'rhs': {'Pclass': '2'}}",0.07990867579908675,0.30042918454935624,0.09723283751739278,,0.04529721973997208,0.08857075665823977
